
         6073355 function calls (5735582 primitive calls) in 7.982 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.010    0.005 __init__.py:14(<module>)
        1    0.001    0.001    0.005    0.005 __init__.py:142(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1492(basicConfig)
        1    0.001    0.001    0.003    0.003 __init__.py:15(<module>)
        1    0.001    0.001    0.024    0.024 __init__.py:151(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:153(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:1552(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:159(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1674(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ushort)
        1    0.000    0.000    0.002    0.002 __init__.py:173(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:176(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        7    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_int)
        1    0.000    0.000    0.001    0.001 __init__.py:19(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:192(Semaphore)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_uint)
        1    0.001    0.001    0.008    0.008 __init__.py:197(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        1    0.001    0.001    0.003    0.003 __init__.py:2(<module>)
        1    0.000    0.000    0.090    0.090 __init__.py:20(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        7    0.000    0.000    0.000    0.000 __init__.py:210(_acquireLock)
        7    0.000    0.000    0.000    0.000 __init__.py:219(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:230(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.001    0.001    0.001    0.001 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:294(c_wchar)
        4    0.002    0.000    0.197    0.049 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:30(deprecated)
        1    0.001    0.001    0.084    0.084 __init__.py:321(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:346(Formatter)
        3    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:36(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:375(__getattr__)
        2    0.002    0.001    0.006    0.003 __init__.py:38(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:382(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:388(PyDLL)
        2    0.000    0.000    0.000    0.000 __init__.py:390(__init__)
        4    0.002    0.001    0.093    0.023 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:429(__init__)
        1    0.001    0.001    0.001    0.001 __init__.py:44(<module>)
        2    0.001    0.001    0.005    0.003 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:467(ConvergenceWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:471(DataDimensionalityWarning)
        1    0.001    0.001    0.002    0.002 __init__.py:48(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:494(BufferingFormatter)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
        2    0.000    0.000    0.001    0.000 __init__.py:5(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:51(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:52(<module>)
        1    0.001    0.001    0.003    0.003 __init__.py:527(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:536(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:573(Filterer)
        6    0.000    0.000    0.000    0.000 __init__.py:578(__init__)
        1    0.002    0.002    0.015    0.015 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:61(DummyProcess)
