	 oid	 dist	 closing	 contact	 relPosX	 relPosY	 relPosZ	 relVlX	 relVlY	 relVlZ	 closingDivDist	 closing1	 closing2	 closing1DivDist	 closing2DivDist	 ActionID	 linVelX	 linVelY	 linVelZ	angVel
8	15	-0.01	0	1	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0	0	1	0	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0.01	0	1	0	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0	0	1	0	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0.01	0	1	0	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0	0	1	0	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	-0.01	0	1	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0	0	1	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	-0.01	0	1	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0	0	1	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0.42	0	0	-0.09	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	-0.09	0.45	0.02	0	-0.5	0	-0.1316	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.32	-0.5	0	-0.09	0.4	0.02	0	-0.5	0	-0.1562	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.28	-0.5	0	-0.09	0.35	0.02	0	-0.5	0	-0.1786	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.22	-0.5	0	-0.09	0.3	0.02	0	-0.5	0	-0.2273	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.18	-0.5	0	-0.09	0.25	0.02	0	-0.5	0	-0.2778	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.13	-0.5	0	-0.09	0.2	0.02	0	-0.5	0	-0.3846	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.08	-0.5	0	-0.09	0.15	0.02	0	-0.5	0	-0.625	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.02	-0.5	0	-0.09	0.1	0.02	0	-0.5	0	-2.5	-0.5	0	0	0	0	0	0.49	0	0
8	15	0	-0.12	1	-0.09	0.07	0.02	0.05	-0.12	0	-12	-0.12	-0.04	0	0	0	0	0.49	0	0
