#sid	 oid	 dist	 closing	 contact	 relPosX	 relPosY	 relPosZ	 relVlX	 relVlY	 relVlZ	 closingDivDist	 closing1	 closing2	 closing1DivDist	 closing2DivDist	 ActionID	 linVelX	 linVelY	 linVelZ	 angVel
15	8	0.05	0	0	0.32	-0.01	-0.02	0	0.5	0	0	0	-0.5	0	-10	4	0	0	0	0
15	8	0.42	0	0	0.24	-0.5	-0.02	0	0	0	0	0	0	0	0	4	0	0	0	0
15	8	0.25	-0.5	0	0.24	-0.32	-0.02	0	0.5	0	-2	-0.5	0	-2	0	4	0	0	0	0
15	8	0.14	-0.51	0	0.24	-0.22	-0.02	0	0.51	0	-3.6429	-0.51	0	-3.6429	0	4	0	0	0	0
15	8	0.1	-0.5	0	0.24	-0.17	-0.02	0	0.5	0	-5	-0.5	0	-5	0	4	0	0	0	0
8	15	-0.01	-0.21	1	-0.25	-0.06	0.02	-0.07	-0.28	0	-210	-0.21	0.2	-210	200	0	0.01	0.5	0	0
15	8	0	-0.12	1	0.26	-0.07	-0.02	0.25	0.28	0	-120	0.25	-0.28	250	-280	4	0	0	0	0
15	8	0.14	-0.51	0	0	-0.21	-0.02	0	0.51	0	-3.6429	-0.51	0	-3.6429	0	4	0	0	0	0
15	8	0.08	-0.5	0	0	-0.16	-0.02	0	0.5	0	-6.25	-0.5	0	-6.25	0	4	0	0	0	0
15	8	0.42	0	0	0.09	-0.5	-0.02	0	0	0	0	0	0	0	0	4	0	0	0	0
15	8	0.24	-0.5	0	0.09	-0.31	-0.02	0	0.5	0	-2.0833	-0.5	0	-2.0833	0	4	0	0	0	0
15	8	0.14	-0.51	0	0.09	-0.21	-0.02	0	0.51	0	-3.6429	-0.51	0	-3.6429	0	4	0	0	0	0
15	8	0.08	-0.5	0	0.09	-0.16	-0.02	0	0.5	0	-6.25	-0.5	0	-6.25	0	4	0	0	0	0
8	15	0	-0.09	1	-0.11	0.01	0.02	-0.15	-0.21	0	-90	-0.09	0.24	-90	240	0	0	0.49	0	0
8	15	0	-0.13	1	-0.19	-0.16	0.02	-0.14	-0.45	0	-130	-0.13	0.45	-130	450	0	0	0.5	0	0
8	15	0	-0.23	1	-0.21	0.07	0.02	-0.04	-0.23	0	-230	-0.23	0.05	-230	50	0	0	0.5	0	0
8	15	-0.01	-0.22	1	-0.21	0.04	0.02	0.02	-0.22	0	-220	-0.22	0.01	-220	10	0	0	0.49	0	0
8	15	0	-0.21	1	-0.21	0.02	0.02	-0.01	-0.22	0	-210	-0.21	0.06	-210	60	0	0	0.49	0	0
8	15	0	-0.2	1	-0.21	0	0.02	-0.04	-0.23	0	-200	-0.2	0.12	-200	120	0	0	0.49	0	0
8	15	0	-0.19	1	-0.23	-0.06	0.02	-0.09	-0.28	0	-190	-0.19	0.22	-190	220	0	0	0.5	0	0
8	15	0	-0.19	1	-0.24	-0.09	0.02	-0.12	-0.33	0	-190	-0.19	0.29	-190	290	0	0	0.5	0	0
8	15	0	-0.21	1	-0.2	0.07	0.02	-0.04	-0.21	0	-210	-0.21	0.05	-210	50	0	0	0.49	0	0
8	15	-0.01	-0.21	1	-0.2	0.04	0.02	0.02	-0.21	0	-210	-0.21	0.01	-210	10	0	0	0.5	0	0
8	15	0	-0.21	1	-0.2	0.02	0.02	-0.02	-0.22	0	-210	-0.21	0.08	-210	80	0	0	0.5	0	0
8	15	0	-0.21	1	-0.2	0	0.02	-0.05	-0.24	0	-210	-0.21	0.13	-210	130	0	0	0.5	0	0
8	15	-0.01	-0.2	1	-0.21	-0.03	0.02	-0.07	-0.26	0	-200	-0.2	0.18	-200	180	0	0	0.5	0	0
8	15	0	-0.2	1	-0.22	-0.05	0.02	-0.08	-0.29	0	-200	-0.2	0.22	-200	220	0	0	0.5	0	0
8	15	0	-0.19	1	-0.23	-0.08	0.02	-0.12	-0.33	0	-190	-0.19	0.3	-190	300	0	0	0.5	0	0
8	15	0	-0.34	1	-0.24	0.07	0.02	-0.03	-0.34	0	-340	-0.34	0.03	-340	30	0	0	0.5	0	0
8	15	0	-0.24	1	-0.24	0.05	0.02	0.02	-0.24	0	-240	-0.24	0.01	-240	10	0	0	0.49	0	0
15	8	0	-0.24	1	0.23	-0.08	-0.02	0.01	0.24	0	-240	-0.24	0.01	-240	10	3	0	0.26	0	1.05
8	15	0	-0.22	1	-0.24	0.02	0.02	0	-0.23	0	-220	-0.22	0.05	-220	50	0	0	0.49	0	0
8	15	0	-0.22	1	-0.24	0	0.02	-0.03	-0.24	0	-220	-0.22	0.1	-220	100	0	0	0.49	0	0
8	15	0	-0.22	1	-0.25	-0.03	0.02	-0.05	-0.26	0	-220	-0.22	0.15	-220	150	0	0	0.49	0	0
15	8	0	-0.13	1	0.24	-0.07	-0.02	0.45	0.13	0	-130	-0.13	0.45	-130	450	4	0	0	0	0
15	8	0.01	0	0	0.29	0.04	-0.02	0	0.5	0	0	0	0.5	0	50	4	0	0	0	0
