#sid	 oid	 dist	 closing	 contact	 relPosX	 relPosY	 relPosZ	 relVlX	 relVlY	 relVlZ	 closingDivDist	 closing1	 closing2	 closing1DivDist	 closing2DivDist	 ActionID	 linVelX	 linVelY	 linVelZ	 angVel
8	15	0.18	-0.5	0	-0.21	0.25	0.02	0	-0.5	0	-2.7778	-0.5	0	-2.7778	0	0	0	0.5	0	0
8	15	0.13	-0.5	0	-0.21	0.2	0.02	0	-0.5	0	-3.8462	-0.5	0	-3.8462	0	0	0	0.5	0	0
8	15	0.08	-0.5	0	-0.21	0.15	0.02	0	-0.5	0	-6.25	-0.5	0	-6.25	0	0	0	0.5	0	0
8	15	0.02	-0.5	0	-0.21	0.1	0.02	0	-0.5	0	-25	-0.5	0	-25	0	0	0	0.5	0	0
8	15	0	-0.23	1	-0.21	0.06	0.02	0.01	-0.23	0	-230	-0.23	0	-230	0	0	0	0.5	0	0
8	15	0.01	-0.23	1	-0.21	0.05	0.02	0.01	-0.23	0	-23	-0.23	0.03	-23	3	0	0.01	0.48	0	0
8	15	0	-0.2	1	-0.21	0.02	0.02	-0.03	-0.22	0	-200	-0.2	0.09	-200	90	0	0.01	0.48	0	0
8	15	0	-0.21	1	-0.21	0	0.02	-0.06	-0.25	0	-210	-0.21	0.15	-210	150	0	0.01	0.48	0	0
8	15	0	-0.18	1	-0.22	-0.03	0.02	-0.08	-0.25	0	-180	-0.18	0.19	-180	190	0	0.01	0.48	0	0
8	15	0	-0.18	1	-0.23	-0.06	0.02	-0.09	-0.28	0	-180	-0.18	0.23	-180	230	0	0.01	0.49	0	0
8	15	-0.01	-0.21	1	-0.23	-0.09	0.02	-0.09	-0.34	0	-210	-0.21	0.28	-210	280	0	0	0.5	0	0
8	15	0	-0.14	1	-0.24	-0.12	0.02	-0.05	-0.43	0	-140	0.32	-0.29	320	-290	0	0	0.5	0	0
8	15	0.02	0.33	0	-0.24	-0.17	0.02	0	-0.5	0	16.5	0.33	-0.37	16.5	-18.5	0	0	0.5	0	0
8	15	0.05	0.33	0	-0.24	-0.22	0.02	0	-0.5	0	6.6	0.33	0.37	6.6	7.4	0	0	0.5	0	0
8	15	0.42	0	0	-0.2	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	-0.2	0.45	0.02	0	-0.5	0	-1.3158	-0.5	0	-1.3158	0	0	0	0.5	0	0
8	15	0.32	-0.5	0	-0.2	0.4	0.02	0	-0.5	0	-1.5625	-0.5	0	-1.5625	0	0	0	0.5	0	0
8	15	0.28	-0.5	0	-0.2	0.35	0.02	0	-0.5	0	-1.7857	-0.5	0	-1.7857	0	0	0	0.5	0	0
8	15	0.22	-0.5	0	-0.2	0.3	0.02	0	-0.5	0	-2.2727	-0.5	0	-2.2727	0	0	0	0.5	0	0
8	15	0.18	-0.5	0	-0.2	0.25	0.02	0	-0.5	0	-2.7778	-0.5	0	-2.7778	0	0	0	0.5	0	0
8	15	0.13	-0.5	0	-0.2	0.2	0.02	0	-0.5	0	-3.8462	-0.5	0	-3.8462	0	0	0	0.5	0	0
8	15	0.08	-0.5	0	-0.2	0.15	0.02	0	-0.5	0	-6.25	-0.5	0	-6.25	0	0	0	0.5	0	0
8	15	0.02	-0.5	0	-0.2	0.1	0.02	0	-0.5	0	-25	-0.5	0	-25	0	0	0	0.49	0	0
8	15	-0.01	-0.21	1	-0.2	0.06	0.02	0.03	-0.21	0	-210	-0.21	-0.02	-210	-20	0	0	0.49	0	0
8	15	0.01	-0.21	1	-0.2	0.05	0.02	0.01	-0.21	0	-21	-0.21	0.03	-21	3	0	0	0.49	0	0
8	15	0.01	-0.21	1	-0.2	0.03	0.02	-0.02	-0.22	0	-21	-0.21	0.08	-21	8	0	0	0.49	0	0
8	15	0	-0.19	1	-0.2	0	0.02	-0.05	-0.23	0	-190	-0.19	0.13	-190	130	0	0	0.49	0	0
8	15	0.01	-0.19	1	-0.21	-0.02	0.02	-0.07	-0.25	0	-19	-0.19	0.18	-19	18	0	0.01	0.49	0	0
8	15	0.01	-0.18	1	-0.22	-0.05	0.02	-0.1	-0.28	0	-18	-0.18	0.24	-18	24	0	0.01	0.49	0	0
8	15	0.01	-0.18	1	-0.23	-0.08	0.02	-0.1	-0.31	0	-18	-0.18	0.27	-18	27	0	0.01	0.49	0	0
8	15	-0.01	-0.17	1	-0.23	-0.12	0.02	-0.11	-0.34	0	-170	0.31	-0.17	310	-170	0	0	0.5	0	0
8	15	0.01	0.29	0	-0.24	-0.16	0.02	0	-0.5	0	29	0.35	-0.36	35	-36	0	0	0.5	0	0
8	15	0.04	0.35	0	-0.24	-0.21	0.02	0	-0.5	0	8.75	0.35	-0.36	8.75	-9	0	0	0.5	0	0
8	15	0.43	0	0	-0.33	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.49	0	-0.33	0.45	0.02	0	-0.5	0	-1.2895	0	-0.5	0	-1.3158	0	0	0.5	0	0
8	15	0.33	-0.49	0	-0.33	0.4	0.02	0	-0.5	0	-1.4848	0	-0.5	0	-1.5152	0	0	0.5	0	0
8	15	0.29	-0.48	0	-0.33	0.35	0.02	0	-0.5	0	-1.6552	0	-0.5	0	-1.7241	0	0	0.5	0	0
